,CSV,VA,DMP,IVS,DCE
CVS1,2.986,,,,
CVS2,3.08,,,,
CVS3,3.474,,,,
CVS4,2.421,,,,
CVS5,2.976,,,,
CVS6,3.463,,,,
CVS7,3.0,,,,
CVS8,3.354,,,,
CVS9,3.073,,,,
VA1,,2.993,,,
VA2,,3.128,,,
VA3,,3.017,,,
VA4,,3.0,,,
VA5,,3.201,,,
VA6,,2.938,,,
VA7,,2.944,,,
VA8,,3.01,,,
DMP1,,,3.042,,
DMP2,,,3.125,,
DMP3,,,2.948,,
DMP4,,,3.0,,
DMP5,,,2.944,,
DMP6,,,3.035,,
DMP7,,,2.986,,
IVS1,,,,3.188,
IVS2,,,,2.958,
IVS3,,,,2.899,
IVS4,,,,3.087,
IVS5,,,,2.979,
IVS6,,,,2.896,
IVS7,,,,3.163,
IVS8,,,,3.087,
DCE1,,,,,3.087
DCE2,,,,,2.889
DCE3,,,,,3.045
DCE4,,,,,2.854
DCE5,,,,,2.917
