Effect,Original Sample (O),Sample Mean (M),Standard Deviation (STDEV),T Statistics (|O/STDEV|),P Values
VA -> CVS,-0.051,0.626,0.058,-0.881,0.379
DMP -> CVS,0.06,0.626,0.054,1.127,0.261
IVS -> CVS,0.009,0.626,0.056,0.155,0.877
DCE -> CVS,-0.056,0.626,0.047,-1.203,0.23
CVS -> VA,-0.053,0.62,0.061,-0.881,0.379
DMP -> VA,0.054,0.62,0.055,0.987,0.325
IVS -> VA,0.039,0.62,0.058,0.681,0.496
DCE -> VA,-0.076,0.62,0.048,-1.58,0.115
CVS -> DMP,0.074,0.49,0.066,1.127,0.261
VA -> DMP,0.063,0.49,0.064,0.987,0.325
IVS -> DMP,0.082,0.49,0.062,1.315,0.19
DCE -> DMP,0.059,0.49,0.052,1.137,0.256
CVS -> IVS,0.01,0.545,0.063,0.155,0.877
VA -> IVS,0.042,0.545,0.061,0.681,0.496
DMP -> IVS,0.074,0.545,0.056,1.315,0.19
DCE -> IVS,0.026,0.545,0.05,0.529,0.597
CVS -> DCE,-0.09,0.629,0.075,-1.203,0.23
VA -> DCE,-0.116,0.629,0.073,-1.58,0.115
DMP -> DCE,0.077,0.629,0.068,1.137,0.256
IVS -> DCE,0.038,0.629,0.071,0.529,0.597
